id,date,hour,season,is_weekend,is_holiday,temperature,temperature_feels,humidity,wind_speed,weather_code,bike_rented
8650,2016-01-01,06,3,0,1,3,0,87,10,1,very low
9383,2016-01-31,19,3,1,0,14,14,77,35,3,low
12036,2016-05-22,08,0,1,0,14.5,14.5,65,6.5,1,low
2404,2015-04-14,11,0,0,0,18,18,54,21.5,1,medium
7406,2015-11-09,21,2,0,0,15,15,82,31.5,4,medium
16165,2016-11-12,22,2,1,0,11,11,88,13,4,low
6449,2015-09-30,16,2,0,0,17,17,42,31,1,very high
7331,2015-11-06,18,2,0,0,18,18,83,22,3,very high
3735,2015-06-09,01,1,0,0,9,7,76,14,1,very low
7223,2015-11-02,06,2,0,0,8.5,7.5,97,8,4,low
453,2015-01-22,21,3,0,0,0,-2,80,6,1,medium
16551,2016-11-29,00,2,0,0,2,1,81,4,1,very low
9312,2016-01-28,20,3,0,0,9,6,68.5,25,1,medium
8622,2015-12-31,02,3,0,0,9,6,79,18.5,1,very low
16991,2016-12-17,08,3,1,0,7,4.5,100,13,4,low
10670,2016-03-25,18,0,0,1,13,13,44,9,1,high
5123,2015-08-06,01,1,0,0,17,17,75,7.5,1,low
12548,2016-06-12,16,1,1,0,20,20,71,13,3,high
11270,2016-04-20,10,0,0,0,11,11,60,26,2,medium
10831,2016-04-02,02,0,1,0,9,7,60,15,1,low
8904,2016-01-11,20,3,0,0,7,4,78.5,18.5,2,medium
1302,2015-02-27,07,3,0,0,3,0,81,13,1,high
16566,2016-11-29,15,2,0,0,6.5,4.5,55,11,1,medium
15308,2016-10-08,03,2,1,0,13,13,82,7,3,low
12237,2016-05-30,17,0,0,1,17,17,66,24,3,high
7967,2015-12-03,15,3,0,0,13,13,72,19,2,high
14362,2016-08-28,04,1,1,0,19.5,19.5,80.5,17.5,3,low
17091,2016-12-21,12,3,0,0,11,11,91,22,7,high
10704,2016-03-27,19,0,1,0,9.5,6.5,71.5,23.5,7,medium
3492,2015-05-29,19,0,0,0,13.5,13.5,55,27,2,high
5450,2015-08-19,16,1,0,0,20,20,60,22,2,very high
7293,2015-11-05,04,2,0,0,14,14,94,9,7,very low
7140,2015-10-29,19,2,0,0,14,14,94,16,7,high
1675,2015-03-14,20,0,1,0,6,3,71,16,4,low
472,2015-01-23,16,3,0,0,4,1,75,12,1,high
3180,2015-05-16,19,0,1,0,16.5,16.5,43.5,21,1,very high
